,,,,,,,,,B&C-I,,,,,,,,,,,
id,|I|,K,r,R,theta,low p_i (%),#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,nCL,mCL,#Cut,#MaxSM,#EOA,#LS
1-1-20-0.01-10,100,5,1,20,0.01,10,102,76,0.0,0,0.0,0.0,10.853588,10.854,0,1,237,109,120,8
1-1-20-0.01-50,100,5,1,20,0.01,50,102,76,0.0,0,0.0,0.0,9.948369,9.948,0,1,236,109,113,14
1-1-20-0.01-90,100,5,1,20,0.01,90,102,76,0.1,0,0.0,0.0,7.546881,7.547,0,1,215,109,106,0
1-1-20-0.1-10,100,5,1,20,0.1,10,102,76,0.0,0,0.0,0.0,10.853588,10.854,0,1,235,109,116,10
1-1-20-0.1-50,100,5,1,20,0.1,50,102,76,0.0,0,0.0,0.0,9.948369,9.948,0,1,232,109,113,10
1-1-20-0.1-90,100,5,1,20,0.1,90,102,76,0.0,0,0.0,0.0,7.546881,7.547,0,1,215,109,106,0
1-1-20-0.2-10,100,5,1,20,0.2,10,102,76,0.0,0,0.0,0.0,10.853588,10.854,0,1,235,109,116,10
1-1-20-0.2-50,100,5,1,20,0.2,50,102,76,0.0,0,0.0,0.0,9.948369,9.948,0,1,238,113,115,10
1-1-20-0.2-90,100,5,1,20,0.2,90,102,76,0.0,0,0.0,0.0,7.546881,7.547,0,1,215,109,106,0
1-2-20-0.01-10,100,5,2,20,0.01,10,106,72,0.0,0,0.0,0.0,11.481454,11.481,0,1,235,107,114,14
1-2-20-0.01-50,100,5,2,20,0.01,50,106,72,0.0,0,0.0,0.0,10.488257,10.488,0,1,232,107,111,14
1-2-20-0.01-90,100,5,2,20,0.01,90,106,72,0.0,0,0.0,0.0,9.280801,9.281,0,1,213,107,106,0
1-2-20-0.1-10,100,5,2,20,0.1,10,106,72,0.0,0,0.0,0.0,11.481454,11.481,0,1,231,107,114,10
1-2-20-0.1-50,100,5,2,20,0.1,50,106,72,0.0,0,0.0,0.0,10.488257,10.488,0,1,238,111,113,14
1-2-20-0.1-90,100,5,2,20,0.1,90,106,72,0.0,0,0.0,0.0,9.280801,9.281,0,1,213,107,106,0
1-2-20-0.2-10,100,5,2,20,0.2,10,106,72,0.0,0,0.0,0.0,11.481454,11.481,0,1,236,110,116,10
1-2-20-0.2-50,100,5,2,20,0.2,50,106,72,0.0,0,0.0,0.0,10.488257,10.488,0,1,238,111,113,14
1-2-20-0.2-90,100,5,2,20,0.2,90,106,72,0.0,0,0.0,0.0,9.280801,9.281,0,1,213,107,106,0
