,,,,,B&C-B,,,,,,,,,,,B&C-I,,,,,,,,,,,
id,|I|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,nCL,mCL,#Cut,#MaxSM,#ProdSM,T,N,Gap(%),RGap(%),Obj,UB,nCL,mCL,#Cut,#MaxSM,#EOA,#LS
1-5-20-0.2,100,5,114,64,0.0,0,0.0,0.0,14.600000,14.600,0,1,226,113,113,0.0,0,0.0,0.0,14.600000,14.600,0,1,259,112,115,32
2-5-20-0.2,100,10,124,76,0.0,0,0.0,0.0,26.792000,26.792,0,1,250,125,125,0.0,0,0.0,0.0,26.792000,26.792,0,1,283,122,123,38
3-5-20-0.2,100,10,116,100,0.1,2,0.0,0.0,25.653333,25.653,0,1,324,161,163,0.0,0,0.0,0.0,25.653333,25.653,0,1,358,136,122,100
4-5-20-0.2,100,20,106,56,0.0,0,0.0,0.0,35.432000,35.432,0,1,340,170,170,0.0,0,0.0,0.0,35.432000,35.432,0,1,340,142,146,52
5-5-20-0.2,100,33,130,114,0.1,0,0.0,0.0,62.217778,62.218,0,1,397,199,198,0.0,0,0.0,0.0,62.217778,62.218,0,1,344,138,134,72
6-5-20-0.2,200,5,296,430,0.0,0,0.0,0.0,30.133333,30.133,0,1,460,230,230,0.0,0,0.0,0.0,30.133333,30.133,0,1,546,232,248,66
7-5-20-0.2,200,10,292,592,0.2,8,0.0,0.0,50.481244,50.481,0,1,673,340,333,0.1,2,0.0,0.0,50.481244,50.481,0,1,824,295,277,252
8-5-20-0.2,200,20,278,418,3.1,0,0.0,0.0,69.795141,69.795,0,1,716,358,358,0.1,0,0.0,0.0,69.795141,69.795,0,1,703,272,285,146
9-5-20-0.2,200,40,302,502,1.3,88,0.0,0.4,118.104119,118.104,0,1,872,450,422,0.2,17,0.0,0.0,118.104119,118.104,0,1,1163,380,303,480
10-5-20-0.2,200,67,328,900,87.6,3469,0.0,1.1,158.933987,158.934,0,1,2016,823,1193,2.1,680,0.0,0.3,158.933987,158.934,0,1,2090,546,326,1218
11-5-20-0.2,300,5,534,2358,0.7,27,0.0,0.8,62.527526,62.528,0,1,1116,540,576,0.3,3,0.0,0.0,62.527526,62.528,0,1,1272,465,420,387
12-5-20-0.2,300,10,474,1654,0.4,21,0.0,0.1,80.006222,80.006,0,1,1198,589,609,0.3,9,0.0,0.1,80.006222,80.006,0,1,1352,456,464,432
13-5-20-0.2,300,30,500,2004,61.6,2982,0.0,1.8,154.428772,154.429,0,1,3286,1298,1988,2.4,171,0.0,0.5,154.428772,154.429,0,1,3393,866,561,1966
14-5-20-0.2,300,60,502,1586,3001.9,174610,0.0,1.0,207.545772,207.546,0,1,4050,1529,2521,6.0,422,0.0,0.3,207.545772,207.546,0,1,4173,904,655,2614
15-5-20-0.2,300,100,518,2000,TL,53816,0.5,1.4,250.439986,251.662,0,1,5669,1772,3897,55.6,6719,0.0,0.3,250.454670,250.455,0,1,6306,1222,744,4340
16-5-20-0.2,400,5,874,6918,2.6,58,0.0,2.3,108.968059,108.968,0,1,2804,1380,1424,1.1,13,0.0,0.7,108.968059,108.968,0,1,2759,936,685,1138
17-5-20-0.2,400,10,840,5902,5.1,161,0.0,1.6,147.920273,147.920,0,1,3540,1769,1771,1.8,31,0.0,0.6,147.920273,147.920,0,1,3752,1079,850,1823
18-5-20-0.2,400,40,738,4070,TL,72795,1.8,3.9,237.515576,241.800,0,1,9545,2721,6824,768.3,26173,0.0,1.0,238.045550,238.046,0,1,13264,2122,1406,9736
19-5-20-0.2,400,80,816,4932,TL,10610,1.9,2.5,321.397436,327.585,0,1,9264,2845,6419,1000.4,28366,0.0,0.5,323.155138,323.155,0,1,14247,2173,1586,10488
20-5-20-0.2,400,133,760,4170,TL,1454,2.7,3.1,363.695385,373.603,1,2,7872,2861,5011,TL,135099,0.2,0.7,367.551869,368.377,1,2,13149,1994,1273,9882
21-5-20-0.2,500,5,1186,12832,3.7,31,0.0,1.2,149.161600,149.162,0,1,3529,1540,1989,0.5,0,0.0,0.0,149.161600,149.162,0,1,2249,845,830,574
22-5-20-0.2,500,10,1090,9960,48.3,1146,0.0,3.5,178.498506,178.499,0,1,5611,2262,3349,4.0,67,0.0,1.0,178.498506,178.499,0,1,5741,1810,1197,2734
23-5-20-0.2,500,50,1196,11222,TL,5535,3.9,4.7,361.023350,375.228,1,3,14878,5011,9867,TL,125027,0.5,1.2,363.481235,365.441,1,2,19621,3252,2962,13407
24-5-20-0.2,500,100,1174,11328,TL,1885,3.2,3.5,436.753115,450.523,0,1,13043,4315,8728,TL,156524,0.4,0.7,439.411960,441.270,0,1,20456,3207,2775,14474
25-5-20-0.2,500,167,1258,13962,TL,1891,2.0,2.2,478.828318,488.608,2,2,9314,3066,6248,TL,62861,0.3,0.5,482.424026,484.005,0,1,18774,2909,1871,13994
26-5-20-0.2,600,5,1706,30160,33.5,406,0.0,6.0,221.743919,221.744,0,1,9096,3342,5754,4.7,35,0.0,1.0,221.743919,221.744,0,1,5787,2087,1608,2092
27-5-20-0.2,600,10,1764,32768,TL,26439,3.6,7.7,305.065024,316.063,0,1,38589,5789,32800,197.5,1680,0.0,1.5,305.542315,305.542,1,2,10280,2459,2368,5453
28-5-20-0.2,600,60,1716,33584,TL,978,4.0,4.1,499.878720,519.658,1,2,15556,5279,10277,TL,62417,0.7,0.9,502.789455,506.155,2,2,19083,4066,3836,11181
29-5-20-0.2,600,120,1714,28968,TL,640,2.9,3.1,558.041154,574.456,2,2,9961,4354,5607,TL,51361,0.6,0.8,559.843086,563.386,2,2,16394,3657,2463,10274
30-5-20-0.2,600,200,1570,21010,TL,3912,0.9,1.0,587.734356,593.110,3,2,7087,2313,4774,TL,146594,0.2,0.3,590.090380,591.542,2,2,14056,2558,2176,9322
31-5-20-0.2,700,5,2542,64420,2911.2,28579,0.0,9.2,314.322815,314.323,0,1,40630,7559,33071,56.0,216,0.0,3.3,314.322815,314.323,0,1,12730,3665,2609,6456
32-5-20-0.2,700,10,2218,50474,TL,21615,3.5,6.8,373.565230,386.636,0,1,35845,6690,29155,38.1,191,0.0,0.8,374.870689,374.871,0,1,9917,3025,2617,4275
33-5-20-0.2,700,70,2268,49250,TL,725,3.8,3.9,616.870746,640.154,1,2,18370,6171,12199,TL,41570,0.5,0.7,621.064221,623.968,0,1,19422,4664,3739,11019
34-5-20-0.2,700,140,2450,58282,TL,723,1.3,1.3,677.665551,686.227,0,1,8400,3593,4807,TL,58719,0.3,0.4,678.992821,681.067,0,1,14361,3609,2396,8356
35-5-20-0.2,800,5,3424,143422,TL,6636,4.0,8.8,460.698259,479.258,0,1,84159,10915,73244,20.4,65,0.0,1.1,460.698259,460.698,0,1,7505,2761,2971,1773
36-5-20-0.2,800,10,3052,91980,TL,8446,6.0,8.2,479.206264,507.881,0,1,34961,8428,26533,TL,31128,0.8,2.1,479.222647,483.008,0,1,25094,4928,7259,12907
37-5-20-0.2,800,80,2762,71842,TL,480,2.8,2.9,724.404104,745.004,2,2,16584,5963,10621,TL,36980,0.4,0.6,726.474278,729.602,0,1,17916,4426,4421,9069
38-5-20-0.2,900,5,4520,224438,TL,3320,8.1,10.6,561.875103,607.127,0,1,68651,10999,57652,232.5,383,0.0,2.1,563.034051,563.034,0,1,19304,4478,3692,11134
39-5-20-0.2,900,10,4450,227826,TL,2199,5.7,6.4,682.763939,721.656,0,1,52258,10247,42011,1248.7,7630,0.0,0.9,682.841890,682.842,0,1,19782,4609,6960,8213
40-5-20-0.2,900,90,3552,140956,TL,365,2.0,2.0,851.648407,868.937,3,2,12536,5093,7443,TL,34881,0.3,0.4,852.960283,855.235,1,2,14748,4553,2959,7236
1-5-20-0.5,100,5,114,64,0.0,0,0.0,0.0,14.600000,14.600,0,1,226,113,113,0.0,0,0.0,0.0,14.600000,14.600,0,1,246,111,115,20
2-5-20-0.5,100,10,124,76,0.0,0,0.0,0.0,26.720000,26.720,0,1,301,147,154,0.0,0,0.0,0.0,26.720000,26.720,0,1,261,116,125,20
3-5-20-0.5,100,10,116,100,0.0,0,0.0,0.0,25.633333,25.633,0,1,260,131,129,0.0,0,0.0,0.0,25.633333,25.633,0,1,338,136,124,78
4-5-20-0.5,100,20,106,56,0.1,0,0.0,0.0,35.420000,35.420,0,1,340,170,170,0.0,0,0.0,0.0,35.420000,35.420,0,1,315,139,152,24
5-5-20-0.5,100,33,130,114,0.1,0,0.0,0.0,62.111111,62.111,0,1,285,145,140,0.0,0,0.0,0.0,62.111111,62.111,0,1,326,143,135,48
6-5-20-0.5,200,5,296,430,0.0,0,0.0,0.0,30.133333,30.133,0,1,460,230,230,0.0,0,0.0,0.0,30.133333,30.133,0,1,495,228,245,22
