,,,,,bB&C-I,,,,,,,,,bB&C-I+E,,,,,,,,,bB&C-I+L,,,,,,,,,,bB&C-I+E+L,,,,,,,,,
id,|I|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,#LS,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,#LS
1-5-20-0.2,100,5,114,64,0.0,0,0.0,0.0,14.600000,14.600,228,109,119,0.1,0,0.0,0.0,14.600000,14.600,228,109,119,0.0,0,0.0,0.0,14.600000,14.600,245,106,113,26,0.0,0,0.0,0.0,14.600000,14.600,259,112,115,32
2-5-20-0.2,100,10,124,76,0.0,0,0.0,0.0,26.792000,26.792,252,124,128,0.1,0,0.0,0.0,26.792000,26.792,256,126,130,0.0,0,0.0,0.0,26.792000,26.792,278,122,122,34,0.0,0,0.0,0.0,26.792000,26.792,283,122,123,38
3-5-20-0.2,100,10,116,100,0.2,90,0.0,0.6,25.653333,25.653,311,155,156,0.1,139,0.0,0.4,25.653333,25.653,316,152,164,0.1,0,0.0,0.0,25.653333,25.653,356,131,123,102,0.0,0,0.0,0.0,25.653333,25.653,358,136,122,100
4-5-20-0.2,100,20,106,56,0.0,3,0.0,0.0,35.432000,35.432,295,142,153,0.1,4,0.0,0.0,35.432000,35.432,291,140,151,0.0,1,0.0,0.0,35.432000,35.432,383,148,143,92,0.0,0,0.0,0.0,35.432000,35.432,340,142,146,52
5-5-20-0.2,100,33,130,114,0.7,980,0.0,0.0,62.217778,62.218,338,187,151,0.0,5,0.0,0.0,62.217778,62.218,279,141,138,0.0,0,0.0,0.0,62.217778,62.218,391,155,128,108,0.0,0,0.0,0.0,62.217778,62.218,344,138,134,72
6-5-20-0.2,200,5,296,430,0.0,0,0.0,0.0,30.133333,30.133,499,242,257,0.0,0,0.0,0.0,30.133333,30.133,487,232,255,0.0,0,0.0,0.0,30.133333,30.133,581,240,245,96,0.0,0,0.0,0.0,30.133333,30.133,546,232,248,66
7-5-20-0.2,200,10,292,592,0.2,47,0.0,0.5,50.481244,50.481,668,334,334,0.1,20,0.0,0.1,50.481244,50.481,637,303,334,0.1,0,0.0,0.0,50.481244,50.481,803,294,267,242,0.1,2,0.0,0.0,50.481244,50.481,824,295,277,252
8-5-20-0.2,200,20,278,418,0.3,134,0.0,0.3,69.795141,69.795,628,300,328,0.2,105,0.0,0.4,69.795141,69.795,600,281,319,0.1,0,0.0,0.0,69.795141,69.795,747,285,274,188,0.1,0,0.0,0.0,69.795141,69.795,703,272,285,146
9-5-20-0.2,200,40,302,502,28.2,1473,0.0,0.9,118.104119,118.104,973,489,484,3.4,2634,0.0,0.6,118.104119,118.104,869,409,460,0.2,14,0.0,0.1,118.104119,118.104,1154,367,289,498,0.2,17,0.0,0.0,118.104119,118.104,1163,380,303,480
