,,,,,B&C-B,,,,,,,,,B&C-I,,,,,,,,,,
id,|V|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,#Cut,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,#Cut,#EOA,#LS
1-5-20-0.2,100,5,114,64,0.0,0,0.0,0.0,14.600,14.600,0,1,226,0.0,0,0.0,0.0,14.600,14.600,0,1,243,115,16
2-5-20-0.2,100,10,124,76,0.1,0,0.0,0.0,26.792,26.792,0,1,250,0.4,0,0.0,0.0,26.792,26.792,0,1,264,123,19
3-5-20-0.2,100,10,116,100,0.1,2,0.0,0.0,25.653,25.653,0,1,324,0.3,0,0.0,0.0,25.653,25.653,0,1,308,122,50
4-5-20-0.2,100,20,106,56,0.1,0,0.0,0.0,35.432,35.432,0,1,340,0.1,0,0.0,0.0,35.432,35.432,0,1,314,146,26
5-5-20-0.2,100,33,130,114,0.2,0,0.0,0.0,62.218,62.218,0,1,397,0.3,0,0.0,0.0,62.218,62.218,0,1,308,134,36
6-5-20-0.2,200,5,296,430,0.1,0,0.0,0.0,30.133,30.133,0,1,460,0.8,0,0.0,0.0,30.133,30.133,0,1,513,248,33
7-5-20-0.2,200,10,292,592,0.2,8,0.0,<0.1,50.481,50.481,0,1,673,0.4,0,0.0,0.0,50.481,50.481,0,1,703,278,129
8-5-20-0.2,200,20,278,418,1.4,0,0.0,0.0,69.795,69.795,0,1,716,0.1,0,0.0,0.0,69.795,69.795,0,1,630,285,73
9-5-20-0.2,200,40,302,502,4.4,88,0.0,0.7,118.104,118.104,0,1,872,0.6,13,0.0,0.3,118.104,118.104,0,1,877,297,215
10-5-20-0.2,200,67,328,900,106.8,3469,0.0,1.9,158.934,158.934,0,1,2016,6.3,1007,0.0,1.0,158.934,158.934,0,1,1554,342,657
11-5-20-0.2,300,5,534,2358,0.5,27,0.0,0.9,62.528,62.528,0,1,1116,0.7,3,0.0,0.0,62.528,62.528,0,1,1082,420,197
12-5-20-0.2,300,10,474,1654,0.6,21,0.0,0.1,80.006,80.006,0,1,1198,0.3,9,0.0,0.1,80.006,80.006,0,1,1136,464,216
13-5-20-0.2,300,30,500,2004,80.1,3260,0.0,2.8,154.429,154.429,0,1,3321,4.1,263,0.0,0.7,154.429,154.429,0,1,2346,561,947
14-5-20-0.2,300,60,502,1586,2909.6,174610,0.0,2.2,207.546,207.546,0,1,4050,8.9,350,0.0,1.4,207.546,207.546,0,1,2914,667,1319
15-5-20-0.2,300,100,518,2000,TL,59980,0.5,2.1,250.334,251.604,0,1,5830,75.6,7913,0.0,1.1,250.454,250.454,0,1,3965,706,2046
16-5-20-0.2,400,5,874,6918,2.8,58,0.0,3.4,108.968,108.968,0,1,2804,2.1,13,0.0,0.8,108.968,108.968,0,1,2205,685,584
17-5-20-0.2,400,10,840,5902,5.2,161,0.0,2.2,147.920,147.920,0,1,3540,3.1,37,0.0,0.6,147.920,147.920,0,1,2845,850,896
18-5-20-0.2,400,40,738,4070,TL,78651,1.8,4.1,237.516,241.800,0,1,9691,285.2,9876,0.0,1.4,238.046,238.046,0,1,8361,1494,4816
19-5-20-0.2,400,80,816,4932,TL,6169,2.1,3.1,321.047,327.829,1,2,9375,1317.8,46250,0.0,1.7,323.155,323.155,0,1,8374,1486,4813
20-5-20-0.2,400,133,760,4170,TL,1044,2.7,3.1,363.695,373.650,1,2,7475,TL,419207,0.3,1.7,367.444,368.658,2,2,8389,1659,4732
21-5-20-0.2,500,5,1186,12832,5.7,31,0.0,1.3,149.162,149.162,0,1,3529,0.6,0,0.0,0.0,149.162,149.162,0,1,1964,830,289
22-5-20-0.2,500,10,1090,9960,56.8,1146,0.0,4.8,178.499,178.499,0,1,5611,12.7,67,0.0,1.0,178.499,178.499,0,1,4374,1197,1367
23-5-20-0.2,500,50,1196,11222,TL,5353,4.0,4.8,360.969,375.588,2,2,15206,TL,135582,0.4,1.9,363.751,365.362,1,2,12476,2797,6474
24-5-20-0.2,500,100,1174,11328,TL,1425,3.2,3.5,436.753,450.561,0,1,11654,TL,202740,0.4,1.4,439.463,441.214,0,1,12487,2670,6735
25-5-20-0.2,500,167,1258,13962,TL,1642,2.0,2.2,478.828,488.640,2,2,8760,TL,69305,0.3,1.3,482.412,483.980,1,2,11460,1716,6940
26-5-20-0.2,600,5,1706,30160,50.0,406,0.0,6.5,221.744,221.744,0,1,9096,8.9,35,0.0,1.1,221.744,221.744,0,1,4854,1608,1159
27-5-20-0.2,600,10,1764,32768,TL,27053,3.8,7.9,305.065,316.525,0,1,38584,231.3,1977,0.0,1.7,305.542,305.542,1,2,8424,2410,3197
28-5-20-0.2,600,60,1716,33584,TL,815,3.9,4.1,499.879,519.592,1,2,15644,TL,50366,0.6,1.6,503.056,505.964,2,2,13248,3430,5939
29-5-20-0.2,600,120,1714,28968,TL,572,2.9,3.1,558.041,574.455,2,2,9455,TL,52445,0.6,1.2,559.642,563.249,1,2,12625,2885,5964
30-5-20-0.2,600,200,1570,21010,TL,4486,0.9,1.0,587.734,593.144,3,2,7892,TL,108303,0.2,0.7,590.137,591.469,2,2,9577,1629,5351
31-5-20-0.2,700,5,2542,64420,2891.2,28579,0.0,9.3,314.323,314.323,0,1,40630,67.2,215,0.0,3.3,314.323,314.323,0,1,9940,2609,3654
32-5-20-0.2,700,10,2218,50474,TL,20917,3.5,7.3,373.565,386.636,0,1,31882,50.6,215,0.0,0.9,374.852,374.852,0,1,7352,2582,1855
33-5-20-0.2,700,70,2268,49250,TL,673,3.8,3.9,616.871,640.078,1,2,16814,TL,49598,0.6,1.4,620.411,624.007,2,2,15299,4576,5914
34-5-20-0.2,700,140,2450,58282,TL,725,1.3,1.3,677.666,686.227,0,1,8446,TL,81622,0.3,0.6,678.751,681.124,0,1,11052,2734,4367
35-5-20-0.2,800,5,3424,143422,TL,5544,4.0,8.9,460.698,479.258,0,1,81787,27.4,65,0.0,1.3,460.698,460.698,0,1,6786,2971,1054
36-5-20-0.2,800,10,3052,91980,TL,8368,6.0,8.3,479.206,507.961,0,1,34117,TL,43681,0.6,2.2,479.250,481.976,0,1,18527,7068,6639
37-5-20-0.2,800,80,2762,71842,TL,450,2.9,3.0,724.404,745.530,2,2,14484,TL,51093,0.4,0.9,726.456,729.569,1,2,13215,4199,4598
38-5-20-0.2,900,5,4520,224438,TL,2643,8.3,10.9,561.875,608.695,0,1,66667,264.5,393,0.0,2.0,563.034,563.034,0,1,13985,3755,5690
39-5-20-0.2,900,10,4450,227826,TL,1932,5.7,6.4,682.764,721.962,0,1,51622,1304.5,8692,0.0,0.9,682.842,682.842,0,1,15296,6718,3936
40-5-20-0.2,900,90,3552,140956,TL,515,2.0,2.0,851.648,868.960,3,2,12531,TL,32649,0.3,0.5,852.642,855.197,1,2,11523,3254,3602
1-5-20-0.5,100,5,114,64,0.0,0,0.0,0.0,14.600,14.600,0,1,226,0.1,0,0.0,0.0,14.600,14.600,0,1,236,115,10
2-5-20-0.5,100,10,124,76,0.1,0,0.0,0.0,26.720,26.720,0,1,301,1.0,0,0.0,0.0,26.720,26.720,0,1,251,125,10
3-5-20-0.5,100,10,116,100,0.1,0,0.0,0.0,25.633,25.633,0,1,260,0.5,0,0.0,0.0,25.633,25.633,0,1,299,124,39
4-5-20-0.5,100,20,106,56,0.1,0,0.0,0.0,35.420,35.420,0,1,340,0.1,0,0.0,0.0,35.420,35.420,0,1,303,152,12
5-5-20-0.5,100,33,130,114,0.1,0,0.0,0.0,62.111,62.111,0,1,285,0.1,0,0.0,0.0,62.111,62.111,0,1,302,135,24
6-5-20-0.5,200,5,296,430,0.0,0,0.0,0.0,30.133,30.133,0,1,460,0.1,0,0.0,0.0,30.133,30.133,0,1,484,245,11
7-5-20-0.5,200,10,292,592,0.2,0,0.0,0.0,50.326,50.326,0,1,597,0.1,0,0.0,0.0,50.326,50.326,0,1,621,273,79
8-5-20-0.5,200,20,278,418,0.1,0,0.0,0.0,69.660,69.660,0,1,540,0.1,0,0.0,0.0,69.660,69.660,0,1,600,276,50
9-5-20-0.5,200,40,302,502,1.2,66,0.0,0.4,117.590,117.590,0,1,909,0.2,3,0.0,0.0,117.590,117.590,0,1,783,289,151
10-5-20-0.5,200,67,328,900,9.8,642,0.0,1.0,157.894,157.894,0,1,1118,2.0,33,0.0,0.7,157.894,157.894,0,1,953,289,253
11-5-20-0.5,300,5,534,2358,0.5,6,0.0,<0.1,62.080,62.080,0,1,992,0.1,0,0.0,0.0,62.080,62.080,0,1,983,410,146
12-5-20-0.5,300,10,474,1654,0.4,10,0.0,<0.1,79.629,79.629,0,1,1124,0.1,0,0.0,0.0,79.629,79.629,0,1,1033,446,149
13-5-20-0.5,300,30,500,2004,4.5,177,0.0,0.7,152.752,152.752,0,1,1839,3.3,27,0.0,0.1,152.752,152.752,0,1,1767,601,480
14-5-20-0.5,300,60,502,1586,22.0,625,0.0,0.6,205.588,205.588,0,1,2058,1.1,13,0.0,<0.1,205.588,205.588,0,1,1902,566,611
15-5-20-0.5,300,100,518,2000,141.5,5353,0.0,1.1,247.414,247.414,0,1,2794,6.3,463,0.0,0.8,247.414,247.414,0,1,2097,547,775
16-5-20-0.5,400,5,874,6918,2.4,31,0.0,1.9,107.405,107.405,0,1,2435,1.3,8,0.0,0.1,107.405,107.405,0,1,1944,656,498
17-5-20-0.5,400,10,840,5902,2.5,90,0.0,0.8,145.775,145.775,0,1,2437,0.9,17,0.0,0.1,145.775,145.775,0,1,2373,748,664
18-5-20-0.5,400,40,738,4070,TL,222921,0.2,2.2,233.791,234.270,0,1,6569,52.0,1817,0.0,0.9,233.814,233.814,0,1,4475,1080,2116
19-5-20-0.5,400,80,816,4932,TL,87663,0.2,1.3,317.451,318.252,0,1,7164,42.0,1948,0.0,1.1,317.624,317.624,0,1,4221,1110,1821
20-5-20-0.5,400,133,760,4170,TL,46640,0.4,1.8,362.362,363.723,0,1,5949,88.7,5131,0.0,1.3,362.509,362.509,0,1,4850,995,2485
21-5-20-0.5,500,5,1186,12832,2.2,7,0.0,0.1,146.176,146.176,0,1,2627,0.6,0,0.0,0.0,146.176,146.176,0,1,1943,799,301
22-5-20-0.5,500,10,1090,9960,16.5,250,0.0,2.2,174.862,174.862,0,1,3904,2.6,25,0.0,0.5,174.862,174.862,0,1,3312,1072,917
23-5-20-0.5,500,50,1196,11222,TL,46752,1.1,2.7,354.126,357.959,0,1,14113,202.3,2305,0.0,0.9,354.873,354.873,0,1,7161,1563,3517
24-5-20-0.5,500,100,1174,11328,TL,12226,0.7,1.9,430.264,433.401,0,1,12555,217.0,7650,0.0,1.0,430.743,430.743,0,1,6567,1831,2732
25-5-20-0.5,500,167,1258,13962,TL,12501,0.3,1.5,475.946,477.586,0,1,8035,928.0,51818,0.0,1.1,476.075,476.075,0,1,6010,1172,3096
26-5-20-0.5,600,5,1706,30160,16.6,133,0.0,3.7,214.315,214.315,0,1,6475,3.5,21,0.0,0.6,214.315,214.315,0,1,4627,1681,954
27-5-20-0.5,600,10,1764,32768,TL,71963,0.8,5.2,290.874,293.104,0,1,32290,90.7,793,0.0,1.4,290.939,290.939,0,1,7504,2392,2536
