,,,,,B&C-B,,,,,,,,,B&C-I,,,,,,,,
id,|V|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,C,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,C
1-5-20-0.5,100,5,114,64,0.0,0,0.0,0.0,14.600,14.600,0,1,226,0.1,0,0.0,0.0,14.600,14.600,0,1,236
2-5-20-0.5,100,10,124,76,0.1,0,0.0,0.0,26.720,26.720,0,1,301,1.0,0,0.0,0.0,26.720,26.720,0,1,251
3-5-20-0.5,100,10,116,100,0.1,0,0.0,0.0,25.633,25.633,0,1,260,0.5,0,0.0,0.0,25.633,25.633,0,1,299
4-5-20-0.5,100,20,106,56,0.1,0,0.0,0.0,35.420,35.420,0,1,340,0.1,0,0.0,0.0,35.420,35.420,0,1,303
5-5-20-0.5,100,33,130,114,0.1,0,0.0,0.0,62.111,62.111,0,1,285,0.1,0,0.0,0.0,62.111,62.111,0,1,302
6-5-20-0.5,200,5,296,430,0.0,0,0.0,0.0,30.133,30.133,0,1,460,0.1,0,0.0,0.0,30.133,30.133,0,1,484
7-5-20-0.5,200,10,292,592,0.2,0,0.0,0.0,50.326,50.326,0,1,597,0.1,0,0.0,0.0,50.326,50.326,0,1,621
8-5-20-0.5,200,20,278,418,0.1,0,0.0,0.0,69.660,69.660,0,1,540,0.1,0,0.0,0.0,69.660,69.660,0,1,600
9-5-20-0.5,200,40,302,502,1.2,66,0.0,0.4,117.590,117.590,0,1,909,0.2,3,0.0,0.0,117.590,117.590,0,1,783
10-5-20-0.5,200,67,328,900,9.8,642,0.0,1.0,157.894,157.894,0,1,1118,2.0,33,0.0,0.7,157.894,157.894,0,1,953
11-5-20-0.5,300,5,534,2358,0.5,6,0.0,<0.1,62.080,62.080,0,1,992,0.1,0,0.0,0.0,62.080,62.080,0,1,983
12-5-20-0.5,300,10,474,1654,0.4,10,0.0,<0.1,79.629,79.629,0,1,1124,0.1,0,0.0,0.0,79.629,79.629,0,1,1033
13-5-20-0.5,300,30,500,2004,4.5,177,0.0,0.7,152.752,152.752,0,1,1839,3.3,27,0.0,0.1,152.752,152.752,0,1,1767
14-5-20-0.5,300,60,502,1586,22.0,625,0.0,0.6,205.588,205.588,0,1,2058,1.1,13,0.0,<0.1,205.588,205.588,0,1,1902
15-5-20-0.5,300,100,518,2000,141.5,5353,0.0,1.1,247.414,247.414,0,1,2794,6.3,463,0.0,0.8,247.414,247.414,0,1,2097
16-5-20-0.5,400,5,874,6918,2.4,31,0.0,1.9,107.405,107.405,0,1,2435,1.3,8,0.0,0.1,107.405,107.405,0,1,1944
17-5-20-0.5,400,10,840,5902,2.5,90,0.0,0.8,145.775,145.775,0,1,2437,0.9,17,0.0,0.1,145.775,145.775,0,1,2373
18-5-20-0.5,400,40,738,4070,TL,222921,0.2,2.2,233.791,234.270,0,1,6569,52.0,1817,0.0,0.9,233.814,233.814,0,1,4475
19-5-20-0.5,400,80,816,4932,TL,87663,0.2,1.3,317.451,318.252,0,1,7164,42.0,1948,0.0,1.1,317.624,317.624,0,1,4221
20-5-20-0.5,400,133,760,4170,TL,46640,0.4,1.8,362.362,363.723,0,1,5949,88.7,5131,0.0,1.3,362.509,362.509,0,1,4850
21-5-20-0.5,500,5,1186,12832,2.2,7,0.0,0.1,146.176,146.176,0,1,2627,0.6,0,0.0,0.0,146.176,146.176,0,1,1943
22-5-20-0.5,500,10,1090,9960,16.5,250,0.0,2.2,174.862,174.862,0,1,3904,2.6,25,0.0,0.5,174.862,174.862,0,1,3312
23-5-20-0.5,500,50,1196,11222,TL,46752,1.1,2.7,354.126,357.959,0,1,14113,202.3,2305,0.0,0.9,354.873,354.873,0,1,7161
24-5-20-0.5,500,100,1174,11328,TL,12226,0.7,1.9,430.264,433.401,0,1,12555,217.0,7650,0.0,1.0,430.743,430.743,0,1,6567
25-5-20-0.5,500,167,1258,13962,TL,12501,0.3,1.5,475.946,477.586,0,1,8035,928.0,51818,0.0,1.1,476.075,476.075,0,1,6010
26-5-20-0.5,600,5,1706,30160,16.6,133,0.0,3.7,214.315,214.315,0,1,6475,3.5,21,0.0,0.6,214.315,214.315,0,1,4627
27-5-20-0.5,600,10,1764,32768,TL,71963,0.8,5.2,290.874,293.104,0,1,32290,90.7,793,0.0,1.4,290.939,290.939,0,1,7504
28-5-20-0.5,600,60,1716,33584,TL,5386,1.9,2.5,484.817,494.158,0,1,18600,TL,72020,0.1,1.1,487.129,487.862,0,1,11113
29-5-20-0.5,600,120,1714,28968,TL,6705,1.5,1.9,545.109,553.110,0,1,11641,TL,166565,0.1,1.1,547.933,548.726,0,1,8947
30-5-20-0.5,600,200,1570,21010,TL,10440,0.2,0.7,583.362,584.438,0,1,6185,TL,235573,0.0,0.6,583.478,583.499,0,1,5985
31-5-20-0.5,700,5,2542,64420,133.8,729,0.0,6.0,302.452,302.452,0,1,14385,29.7,102,0.0,2.3,302.452,302.452,0,1,8161
32-5-20-0.5,700,10,2218,50474,TL,58354,1.0,4.2,357.421,360.845,0,1,29844,27.0,88,0.0,0.7,357.832,357.832,0,1,6079
33-5-20-0.5,700,70,2268,49250,TL,1942,1.9,2.3,597.489,609.118,0,1,21501,TL,82688,0.1,0.6,600.609,601.256,0,1,10597
34-5-20-0.5,700,140,2450,58282,TL,4828,0.7,0.9,663.809,668.378,0,1,10626,3156.8,114583,0.0,0.5,665.471,665.471,0,1,5875
35-5-20-0.5,800,5,3424,143422,851.4,1184,0.0,6.2,432.061,432.061,0,1,27950,24.8,45,0.0,1.2,432.061,432.061,0,1,6289
36-5-20-0.5,800,10,3052,91980,TL,11279,4.1,6.4,451.929,470.649,0,1,47913,1404.2,1959,0.0,1.8,453.183,453.183,0,1,12049
37-5-20-0.5,800,80,2762,71842,TL,2523,1.4,1.6,701.992,711.564,0,1,18410,TL,95872,0.1,0.6,704.117,704.980,0,1,8983
