,,,,,vB&C-I,,,,,,,vB&C-I+E,,,,,,,vB&C-I+L,,,,,,,vB&C-I+E+L,,,,,,,,
id,|V|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,C
1-10-25-0.2,100,5,138,60,0.1,0,0.0,0.0,17.533,17.533,240,0.4,0,0.0,0.0,17.533,17.533,226,0.0,0,0.0,0.0,17.533,17.533,235,0.1,0,0.0,0.0,17.533,17.533,0,1,232
2-10-25-0.2,100,10,152,78,0.7,0,0.0,0.0,31.796,31.796,243,0.0,0,0.0,0.0,31.796,31.796,242,0.1,2,0.0,0.0,31.796,31.796,271,0.1,0,0.0,0.0,31.796,31.796,0,1,262
3-10-25-0.2,100,10,136,110,0.4,8,0.0,0.2,32.000,32.000,268,0.1,16,0.0,0.2,32.000,32.000,267,0.1,0,0.0,0.0,32.000,32.000,283,0.1,0,0.0,0.0,32.000,32.000,0,1,277
4-10-25-0.2,100,20,126,66,0.7,0,0.0,0.0,43.556,43.556,256,0.1,0,0.0,0.0,43.556,43.556,260,0.1,0,0.0,0.0,43.556,43.556,282,0.1,0,0.0,0.0,43.556,43.556,0,1,269
5-10-25-0.2,100,33,174,116,0.1,10,0.0,1.6,70.431,70.431,321,0.1,19,0.0,1.5,70.431,70.431,323,0.5,4,0.0,1.5,70.431,70.431,350,0.3,0,0.0,0.0,70.431,70.431,0,1,367
6-10-25-0.2,200,5,408,628,0.1,0,0.0,0.0,41.221,41.221,538,0.1,0,0.0,0.0,41.221,41.221,543,0.1,0,0.0,0.0,41.221,41.221,587,0.1,0,0.0,0.0,41.221,41.221,0,1,555
7-10-25-0.2,200,10,414,906,2.7,380,0.0,1.6,67.985,67.985,1062,0.9,79,0.0,1.5,67.985,67.985,863,0.4,7,0.0,0.7,67.985,67.985,859,1.1,2,0.0,0.0,67.985,67.985,0,1,833
8-10-25-0.2,200,20,360,658,2.4,387,0.0,1.3,93.383,93.383,840,0.6,124,0.0,0.8,93.383,93.383,739,0.1,0,0.0,0.0,93.383,93.383,728,0.1,0,0.0,0.0,93.383,93.383,0,1,703
9-10-25-0.2,200,40,418,686,5.7,632,0.0,1.8,140.755,140.755,1209,6.5,646,0.0,1.5,140.755,140.755,1008,0.4,62,0.0,1.2,140.755,140.755,1080,0.5,54,0.0,1.2,140.755,140.755,0,1,987
