,,,,,vB&C-I,,,,,,,vB&C-I+E,,,,,,,vB&C-I+L,,,,,,,B&C-I,,,,,,,,
id,|V|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,C,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,C
1-10-25-0.8,100,5,138,60,0.1,0,0.0,0.0,17.533,17.533,242,0.2,0,0.0,0.0,17.533,17.533,245,0.0,0,0.0,0.0,17.533,17.533,248,0.0,0,0.0,0.0,17.533,17.533,0,1,248
2-10-25-0.8,100,10,152,78,0.1,0,0.0,0.0,31.599,31.599,237,0.1,0,0.0,0.0,31.599,31.599,236,0.0,0,0.0,0.0,31.599,31.599,260,0.0,0,0.0,0.0,31.599,31.599,0,1,245
3-10-25-0.8,100,10,136,110,0.0,0,0.0,0.0,32.000,32.000,239,0.2,0,0.0,0.0,32.000,32.000,277,0.1,0,0.0,0.0,32.000,32.000,241,0.1,0,0.0,0.0,32.000,32.000,0,1,280
4-10-25-0.8,100,20,126,66,0.0,0,0.0,0.0,43.489,43.489,251,0.1,0,0.0,0.0,43.489,43.489,248,0.1,0,0.0,0.0,43.489,43.489,265,0.2,0,0.0,0.0,43.489,43.489,0,1,255
5-10-25-0.8,100,33,174,116,0.1,3,0.0,0.0,70.258,70.258,349,0.1,2,0.0,0.0,70.258,70.258,332,0.1,0,0.0,0.0,70.258,70.258,361,0.0,0,0.0,0.0,70.258,70.258,0,1,344
6-10-25-0.8,200,5,408,628,0.1,0,0.0,0.0,41.005,41.005,521,0.2,0,0.0,0.0,41.005,41.005,521,0.1,0,0.0,0.0,41.005,41.005,546,0.3,0,0.0,0.0,41.005,41.005,0,1,546
7-10-25-0.8,200,10,414,906,0.4,34,0.0,0.3,67.246,67.246,665,0.3,11,0.0,0.2,67.246,67.246,632,0.2,3,0.0,0.0,67.246,67.246,691,0.2,4,0.0,0.2,67.246,67.246,0,1,702
8-10-25-0.8,200,20,360,658,0.2,17,0.0,0.6,92.846,92.846,616,0.3,11,0.0,0.6,92.846,92.846,620,0.1,0,0.0,0.0,92.846,92.846,671,0.1,0,0.0,0.0,92.846,92.846,0,1,668
9-10-25-0.8,200,40,418,686,0.1,7,0.0,1.1,139.585,139.585,683,0.2,7,0.0,1.1,139.585,139.585,670,0.4,0,0.0,0.0,139.585,139.585,779,0.1,4,0.0,1.0,139.585,139.585,0,1,753
10-10-25-0.8,200,67,526,1372,0.6,321,0.0,0.4,182.017,182.017,782,0.9,112,0.0,0.4,182.017,182.017,720,0.3,7,0.0,0.3,182.017,182.017,884,0.2,6,0.0,0.3,182.017,182.017,0,1,833
11-10-25-0.8,300,5,1004,3968,0.1,0,0.0,0.0,94.700,94.700,942,0.1,0,0.0,0.0,94.700,94.700,898,0.1,0,0.0,0.0,94.700,94.700,1008,0.1,0,0.0,0.0,94.700,94.700,0,1,1002
12-10-25-0.8,300,10,814,2756,0.5,28,0.0,0.4,119.392,119.392,1361,0.4,14,0.0,0.1,119.392,119.392,1260,0.3,0,0.0,0.0,119.392,119.392,1317,0.4,0,0.0,0.0,119.392,119.392,0,1,1275
13-10-25-0.8,300,30,902,3342,2.1,83,0.0,1.8,196.562,196.562,1313,0.4,18,0.0,1.8,196.562,196.562,1100,0.2,0,0.0,0.0,196.562,196.562,1266,0.4,0,0.0,0.0,196.562,196.562,0,1,1306
14-10-25-0.8,300,60,804,2722,1.9,290,0.0,0.1,243.470,243.470,1448,5.8,1011,0.0,<0.1,243.470,243.470,1286,1.3,41,0.0,0.1,243.470,243.470,1672,0.8,43,0.0,<0.1,243.470,243.470,0,1,1534
15-10-25-0.8,300,100,910,3470,6.9,1762,0.0,0.9,281.152,281.152,1589,2.1,776,0.0,0.9,281.152,281.152,1533,0.7,0,0.0,0.0,281.152,281.152,1797,0.3,0,0.0,0.0,281.152,281.152,0,1,1754
16-10-25-0.8,400,5,1974,13784,0.8,19,0.0,0.7,173.705,173.705,2068,0.8,11,0.0,0.7,173.705,173.705,2095,1.6,14,0.0,0.2,173.705,173.705,2421,1.2,3,0.0,0.0,173.705,173.705,0,1,2712
17-10-25-0.8,400,10,1738,11266,3.1,54,0.0,0.5,213.348,213.348,2824,1.5,39,0.0,0.6,213.348,213.348,2697,2.6,17,0.0,0.2,213.348,213.348,3174,6.3,19,0.0,0.2,213.348,213.348,0,1,2990
18-10-25-0.8,400,40,1430,7758,8.9,907,0.0,0.2,300.602,300.602,2381,4.8,293,0.0,0.2,300.602,300.602,2158,4.2,27,0.0,<0.1,300.602,300.602,2843,2.8,19,0.0,<0.1,300.602,300.602,0,1,2704
19-10-25-0.8,400,80,1644,9618,6.7,658,0.0,1.1,368.985,368.985,1983,5.0,513,0.0,1.1,368.985,368.985,1805,1.3,12,0.0,1.0,368.985,368.985,2105,1.7,3,0.0,0.0,368.985,368.985,0,1,2029
20-10-25-0.8,400,133,1462,8014,9.7,901,0.0,1.0,394.491,394.491,1804,1.0,182,0.0,1.0,394.491,394.491,1644,2.8,60,0.0,1.0,394.491,394.491,2060,2.9,45,0.0,1.0,394.491,394.491,0,1,1878
21-10-25-0.8,500,5,2918,27626,0.5,0,0.0,0.0,240.856,240.856,1924,0.5,0,0.0,0.0,240.856,240.856,1919,2.8,0,0.0,0.0,240.856,240.856,2276,1.0,0,0.0,0.0,240.856,240.856,0,1,2247
