,,,,,B&C-B,,,,,,,,,B&C-I,,,,,,,,
id,|V|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,C,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,C
1-10-25-0.2,100,5,138,60,0.0,0,0.0,0.0,17.533,17.533,0,1,218,0.1,0,0.0,0.0,17.533,17.533,0,1,232
2-10-25-0.2,100,10,152,78,0.1,3,0.0,0.0,31.796,31.796,0,1,244,0.1,0,0.0,0.0,31.796,31.796,0,1,262
3-10-25-0.2,100,10,136,110,0.1,0,0.0,0.0,32.000,32.000,0,1,279,0.1,0,0.0,0.0,32.000,32.000,0,1,277
4-10-25-0.2,100,20,126,66,0.1,0,0.0,0.0,43.556,43.556,0,1,244,0.1,0,0.0,0.0,43.556,43.556,0,1,269
5-10-25-0.2,100,33,174,116,0.3,5,0.0,1.5,70.431,70.431,0,1,300,0.3,0,0.0,0.0,70.431,70.431,0,1,367
6-10-25-0.2,200,5,408,628,0.1,0,0.0,0.0,41.221,41.221,0,1,527,0.1,0,0.0,0.0,41.221,41.221,0,1,555
7-10-25-0.2,200,10,414,906,0.5,19,0.0,1.1,67.985,67.985,0,1,783,1.1,2,0.0,0.0,67.985,67.985,0,1,833
8-10-25-0.2,200,20,360,658,0.5,5,0.0,0.6,93.383,93.383,0,1,1013,0.1,0,0.0,0.0,93.383,93.383,0,1,703
9-10-25-0.2,200,40,418,686,5.0,383,0.0,1.5,140.755,140.755,0,1,1055,0.5,54,0.0,1.2,140.755,140.755,0,1,987
10-10-25-0.2,200,67,526,1372,116.9,2752,0.0,1.4,184.062,184.062,0,1,2187,4.0,554,0.0,0.7,184.062,184.062,0,1,1845
11-10-25-0.2,300,5,1004,3968,0.8,31,0.0,0.5,96.199,96.199,0,1,1431,0.2,0,0.0,0.0,96.199,96.199,0,1,1079
12-10-25-0.2,300,10,814,2756,1.8,67,0.0,0.6,121.767,121.767,0,1,1704,2.0,5,0.0,0.0,121.767,121.767,0,1,1488
13-10-25-0.2,300,30,902,3342,59.9,2198,0.0,2.8,200.248,200.248,0,1,2939,1.6,67,0.0,1.9,200.248,200.248,0,1,2294
14-10-25-0.2,300,60,804,2722,TL,136698,<0.1,2.4,247.420,247.654,0,1,4630,10.4,608,0.0,0.3,247.419,247.419,0,1,2995
15-10-25-0.2,300,100,910,3470,TL,16248,0.9,1.9,285.476,288.096,2,2,5894,511.6,36049,0.0,1.1,286.008,286.008,0,1,4959
16-10-25-0.2,400,5,1974,13784,5.4,69,0.0,4.4,181.421,181.421,0,1,3725,7.0,19,0.0,0.8,181.421,181.421,0,1,3022
17-10-25-0.2,400,10,1738,11266,117.2,3457,0.0,4.6,220.594,220.594,0,1,7799,15.2,161,0.0,1.3,220.594,220.594,0,1,5046
18-10-25-0.2,400,40,1430,7758,TL,47257,1.5,3.1,307.791,312.528,0,1,10609,580.0,8094,0.0,1.4,308.978,308.978,0,1,9993
19-10-25-0.2,400,80,1644,9618,TL,7049,1.5,2.3,372.828,378.365,1,3,9006,549.9,15017,0.0,1.4,375.663,375.663,0,1,8095
20-10-25-0.2,400,133,1462,8014,TL,15429,0.2,0.8,396.875,397.767,2,2,5300,806.2,41068,0.0,0.7,397.157,397.157,0,1,5759
21-10-25-0.2,500,5,2918,27626,11.7,74,0.0,2.5,252.424,252.424,0,1,5620,4.3,5,0.0,<0.1,252.424,252.424,0,1,2803
22-10-25-0.2,500,10,2496,21494,401.6,7697,0.0,5.6,284.236,284.236,0,1,13875,108.8,646,0.0,2.0,284.236,284.236,0,1,7672
23-10-25-0.2,500,50,2772,24348,TL,4731,2.6,3.0,441.256,452.600,0,1,14565,TL,31979,0.5,1.6,443.575,445.937,0,1,13863
24-10-25-0.2,500,100,2810,23810,TL,2482,1.1,1.2,488.944,494.318,2,2,7272,TL,62125,0.2,0.7,490.690,491.801,1,3,9996
25-10-25-0.2,500,167,3078,29866,TL,56358,0.0,0.2,499.697,499.706,0,1,3514,39.8,2496,0.0,0.2,499.698,499.698,0,1,2837
26-10-25-0.2,600,5,5086,70238,2971.3,28534,0.0,6.6,370.604,370.604,0,1,47247,33.2,192,0.0,1.8,370.604,370.604,0,1,6956
27-10-25-0.2,600,10,5420,75078,TL,11745,2.8,5.2,445.600,458.072,0,1,27994,997.4,20830,0.0,1.3,446.980,446.980,1,2,12442
28-10-25-0.2,600,60,5338,78458,TL,2094,1.9,2.1,571.882,582.632,0,1,13366,TL,132691,0.4,0.9,574.173,576.318,1,2,10094
29-10-25-0.2,600,120,4982,67654,TL,8451,0.2,0.4,596.582,597.828,0,1,6363,TL,135002,<0.1,0.4,597.142,597.395,0,1,6167
30-10-25-0.2,600,200,4284,48514,90.9,0,0.0,0.0,600.000,600.000,0,1,1616,2.9,0,0.0,0.0,600.000,600.000,0,1,2948
31-10-25-0.2,700,5,8624,152102,TL,8006,5.0,7.3,508.897,534.583,0,1,50169,415.4,911,0.0,2.4,510.572,510.572,0,1,15616
32-10-25-0.2,700,10,7294,123992,TL,6654,3.7,5.2,550.957,571.372,0,1,32442,953.1,2215,0.0,1.0,553.668,553.668,0,1,9981
33-10-25-0.2,700,70,7110,121930,TL,3060,1.0,1.1,685.534,692.242,0,1,11729,TL,93572,0.2,0.5,687.650,689.050,0,1,8191
34-10-25-0.2,700,140,8044,141988,219.2,86,0.0,0.1,699.831,699.831,0,1,2944,13.2,93,0.0,0.0,699.831,699.831,0,1,2701
35-10-25-0.2,800,5,14838,312066,TL,5160,3.4,4.6,668.602,691.412,0,1,47750,67.5,159,0.0,0.9,668.820,668.820,0,1,5704
36-10-25-0.2,800,10,10904,224412,TL,3288,3.7,4.3,675.632,700.776,0,1,38961,TL,45106,0.2,1.0,677.499,679.145,0,1,13153
37-10-25-0.2,800,80,9072,186296,TL,2066,0.7,0.7,788.527,793.879,0,1,9184,TL,82461,0.2,0.5,790.338,791.594,0,1,7610
