,,,,,B&C-B,,,,,,,,,B&C-I,,,,,,,,
id,|V|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,C,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,C
1-10-25-0.8,100,5,138,60,0.0,0,0.0,0.0,17.533,17.533,0,1,218,0.0,0,0.0,0.0,17.533,17.533,0,1,248
2-10-25-0.8,100,10,152,78,0.1,0,0.0,0.0,31.599,31.599,0,1,287,0.0,0,0.0,0.0,31.599,31.599,0,1,245
3-10-25-0.8,100,10,136,110,0.0,0,0.0,0.0,32.000,32.000,0,1,250,0.1,0,0.0,0.0,32.000,32.000,0,1,280
4-10-25-0.8,100,20,126,66,0.1,0,0.0,0.0,43.489,43.489,0,1,250,0.2,0,0.0,0.0,43.489,43.489,0,1,255
5-10-25-0.8,100,33,174,116,0.1,0,0.0,0.0,70.258,70.258,0,1,380,0.0,0,0.0,0.0,70.258,70.258,0,1,344
6-10-25-0.8,200,5,408,628,0.1,0,0.0,0.0,41.005,41.005,0,1,524,0.3,0,0.0,0.0,41.005,41.005,0,1,546
7-10-25-0.8,200,10,414,906,0.4,12,0.0,0.2,67.246,67.246,0,1,703,0.2,4,0.0,0.2,67.246,67.246,0,1,702
8-10-25-0.8,200,20,360,658,0.3,0,0.0,0.0,92.846,92.846,0,1,820,0.1,0,0.0,0.0,92.846,92.846,0,1,668
9-10-25-0.8,200,40,418,686,0.6,0,0.0,0.0,139.585,139.585,0,1,902,0.1,4,0.0,1.0,139.585,139.585,0,1,753
10-10-25-0.8,200,67,526,1372,2.0,13,0.0,0.3,182.017,182.017,0,1,1366,0.2,6,0.0,0.3,182.017,182.017,0,1,833
11-10-25-0.8,300,5,1004,3968,0.4,2,0.0,0.0,94.700,94.700,0,1,1228,0.1,0,0.0,0.0,94.700,94.700,0,1,1002
12-10-25-0.8,300,10,814,2756,0.6,2,0.0,0.0,119.392,119.392,0,1,1324,0.4,0,0.0,0.0,119.392,119.392,0,1,1275
13-10-25-0.8,300,30,902,3342,2.0,11,0.0,1.8,196.562,196.562,0,1,1305,0.4,0,0.0,0.0,196.562,196.562,0,1,1306
14-10-25-0.8,300,60,804,2722,30.4,1040,0.0,<0.1,243.470,243.470,0,1,1976,0.8,43,0.0,<0.1,243.470,243.470,0,1,1534
15-10-25-0.8,300,100,910,3470,7.4,63,0.0,0.8,281.152,281.152,0,1,1226,0.3,0,0.0,0.0,281.152,281.152,0,1,1754
16-10-25-0.8,400,5,1974,13784,2.6,13,0.0,2.0,173.705,173.705,0,1,2744,1.2,3,0.0,0.0,173.705,173.705,0,1,2712
17-10-25-0.8,400,10,1738,11266,4.1,32,0.0,2.0,213.348,213.348,0,1,2608,6.3,19,0.0,0.2,213.348,213.348,0,1,2990
18-10-25-0.8,400,40,1430,7758,9.8,58,0.0,0.1,300.602,300.602,0,1,2691,2.8,19,0.0,<0.1,300.602,300.602,0,1,2704
19-10-25-0.8,400,80,1644,9618,20.1,85,0.0,1.0,368.985,368.985,0,1,2430,1.7,3,0.0,0.0,368.985,368.985,0,1,2029
20-10-25-0.8,400,133,1462,8014,21.0,43,0.0,1.0,394.491,394.491,0,1,1310,2.9,45,0.0,1.0,394.491,394.491,0,1,1878
