,,,,,bB&C-I,,,,,,,,,bB&C-I+E,,,,,,,,,bB&C-I+L,,,,,,,,,,bB&C-I+E+L,,,,,,,,,
id,|I|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,#LS,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,#LS
1-5-20-0.2,100,5,114,64,0.3,0,0.0,0.0,14.600,14.600,228,109,119,0.0,0,0.0,0.0,14.600,14.600,228,109,119,0.0,0,0.0,0.0,14.600,14.600,232,106,113,13,0.0,0,0.0,0.0,14.600,14.600,243,112,115,16
2-5-20-0.2,100,10,124,76,0.2,0,0.0,0.0,26.792,26.792,252,124,128,0.3,0,0.0,0.0,26.792,26.792,256,126,130,0.3,0,0.0,0.0,26.792,26.792,261,122,122,17,0.4,0,0.0,0.0,26.792,26.792,264,122,123,19
3-5-20-0.2,100,10,116,100,0.2,90,0.0,0.6,25.653,25.653,311,155,156,0.1,139,0.0,0.4,25.653,25.653,316,152,164,0.4,0,0.0,0.0,25.653,25.653,305,131,123,51,0.3,0,0.0,0.0,25.653,25.653,308,136,122,50
4-5-20-0.2,100,20,106,56,0.1,3,0.0,0.0,35.432,35.432,295,142,153,0.1,4,0.0,0.0,35.432,35.432,291,140,151,1.6,1,0.0,0.0,35.432,35.432,337,148,143,46,0.1,0,0.0,0.0,35.432,35.432,314,142,146,26
5-5-20-0.2,100,33,130,114,1.5,980,0.0,0.0,62.218,62.218,338,187,151,0.1,5,0.0,0.0,62.218,62.218,279,141,138,0.2,0,0.0,0.0,62.218,62.218,337,155,128,54,0.3,0,0.0,0.0,62.218,62.218,308,138,134,36
6-5-20-0.2,200,5,296,430,0.1,0,0.0,0.0,30.133,30.133,499,242,257,0.1,0,0.0,0.0,30.133,30.133,487,232,255,0.1,0,0.0,0.0,30.133,30.133,533,240,245,48,0.8,0,0.0,0.0,30.133,30.133,513,232,248,33
7-5-20-0.2,200,10,292,592,0.3,47,0.0,0.5,50.481,50.481,668,334,334,0.3,20,0.0,0.1,50.481,50.481,637,303,334,0.2,0,0.0,0.0,50.481,50.481,688,296,267,125,0.4,0,0.0,0.0,50.481,50.481,703,296,278,129
8-5-20-0.2,200,20,278,418,0.3,134,0.0,0.3,69.795,69.795,628,300,328,0.2,105,0.0,0.4,69.795,69.795,600,281,319,0.1,0,0.0,0.0,69.795,69.795,653,285,274,94,0.1,0,0.0,0.0,69.795,69.795,630,272,285,73
9-5-20-0.2,200,40,302,502,7.2,1479,0.0,0.9,118.104,118.104,977,492,485,11.4,2634,0.0,0.6,118.104,118.104,869,409,460,0.2,18,0.0,0.1,118.104,118.104,920,374,290,256,0.6,13,0.0,0.0,118.104,118.104,877,365,297,215
10-5-20-0.2,200,67,328,900,20.1,5912,0.0,1.1,158.934,158.934,1624,816,808,6.8,1729,0.0,1.0,158.934,158.934,1434,651,783,3.6,508,0.0,0.3,158.934,158.934,1657,596,306,755,6.3,1007,0.0,0.3,158.934,158.934,1554,555,342,657
