,,,,,,,,,bB&C-I,,,,,,,,,bB&C-I+E,,,,,,,,,bB&C-I+L,,,,,,,,,,bB&C-I+E+L,,,,,,,,,
id,|I|,K,r,R,theta,low p_i (%),#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,#LS,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,#LS
1-1-20-0.01-10,100,5,1,20,0.01,10,102,76,0.0,0,0.0,0.0,10.853588,10.854,229,109,120,0.0,0,0.0,0.0,10.853588,10.854,229,109,120,0.0,0,0.0,0.0,10.853588,10.854,243,109,120,14,0.0,0,0.0,0.0,10.853588,10.854,237,109,120,8
1-1-20-0.01-50,100,5,1,20,0.01,50,102,76,0.0,0,0.0,0.0,9.948369,9.948,222,109,113,0.0,0,0.0,0.0,9.948369,9.948,222,109,113,0.0,0,0.0,0.0,9.948369,9.948,236,109,113,14,0.0,0,0.0,0.0,9.948369,9.948,236,109,113,14
1-1-20-0.01-90,100,5,1,20,0.01,90,102,76,0.0,0,0.0,0.0,7.546881,7.547,215,109,106,0.0,0,0.0,0.0,7.546881,7.547,215,109,106,0.0,0,0.0,0.0,7.546881,7.547,215,109,106,0,0.1,0,0.0,0.0,7.546881,7.547,215,109,106,0
1-1-20-0.1-10,100,5,1,20,0.1,10,102,76,0.0,0,0.0,0.0,10.853588,10.854,229,113,116,0.0,0,0.0,0.0,10.853588,10.854,225,109,116,0.0,0,0.0,0.0,10.853588,10.854,251,113,116,22,0.0,0,0.0,0.0,10.853588,10.854,235,109,116,10
1-1-20-0.1-50,100,5,1,20,0.1,50,102,76,0.0,0,0.0,0.0,9.948369,9.948,222,109,113,0.0,0,0.0,0.0,9.948369,9.948,222,109,113,0.0,0,0.0,0.0,9.948369,9.948,246,113,113,20,0.0,0,0.0,0.0,9.948369,9.948,232,109,113,10
1-1-20-0.1-90,100,5,1,20,0.1,90,102,76,0.0,0,0.0,0.0,7.546881,7.547,215,109,106,0.0,0,0.0,0.0,7.546881,7.547,215,109,106,0.0,0,0.0,0.0,7.546881,7.547,215,109,106,0,0.0,0,0.0,0.0,7.546881,7.547,215,109,106,0
1-1-20-0.2-10,100,5,1,20,0.2,10,102,76,0.0,0,0.0,0.0,10.853588,10.854,229,113,116,0.0,0,0.0,0.0,10.853588,10.854,225,109,116,0.0,0,0.0,0.0,10.853588,10.854,251,113,116,22,0.0,0,0.0,0.0,10.853588,10.854,235,109,116,10
1-1-20-0.2-50,100,5,1,20,0.2,50,102,76,0.0,0,0.0,0.0,9.948369,9.948,231,113,118,0.0,0,0.0,0.0,9.948369,9.948,231,113,118,0.0,0,0.0,0.0,9.948369,9.948,238,113,115,10,0.0,0,0.0,0.0,9.948369,9.948,238,113,115,10
1-1-20-0.2-90,100,5,1,20,0.2,90,102,76,0.0,0,0.0,0.0,7.546881,7.547,215,109,106,0.0,0,0.0,0.0,7.546881,7.547,215,109,106,0.0,0,0.0,0.0,7.546881,7.547,215,109,106,0,0.0,0,0.0,0.0,7.546881,7.547,215,109,106,0
1-2-20-0.01-10,100,5,2,20,0.01,10,106,72,0.0,0,0.0,0.0,11.481454,11.481,225,111,114,0.0,0,0.0,0.0,11.481454,11.481,221,107,114,0.0,0,0.0,0.0,11.481454,11.481,251,111,114,26,0.0,0,0.0,0.0,11.481454,11.481,235,107,114,14
1-2-20-0.01-50,100,5,2,20,0.01,50,106,72,0.0,0,0.0,0.0,10.488257,10.488,222,111,111,0.0,0,0.0,0.0,10.488257,10.488,218,107,111,0.0,0,0.0,0.0,10.488257,10.488,244,111,111,22,0.0,0,0.0,0.0,10.488257,10.488,232,107,111,14
1-2-20-0.01-90,100,5,2,20,0.01,90,106,72,0.0,0,0.0,0.0,9.280801,9.281,213,107,106,0.0,0,0.0,0.0,9.280801,9.281,213,107,106,0.0,0,0.0,0.0,9.280801,9.281,213,107,106,0,0.0,0,0.0,0.0,9.280801,9.281,213,107,106,0
1-2-20-0.1-10,100,5,2,20,0.1,10,106,72,0.0,0,0.0,0.0,11.481454,11.481,225,111,114,0.0,0,0.0,0.0,11.481454,11.481,221,107,114,0.0,0,0.0,0.0,11.481454,11.481,247,111,114,22,0.0,0,0.0,0.0,11.481454,11.481,231,107,114,10
1-2-20-0.1-50,100,5,2,20,0.1,50,106,72,0.0,0,0.0,0.0,10.488257,10.488,225,111,114,0.0,0,0.0,0.0,10.488257,10.488,225,111,114,0.0,0,0.0,0.0,10.488257,10.488,238,111,113,14,0.0,0,0.0,0.0,10.488257,10.488,238,111,113,14
1-2-20-0.1-90,100,5,2,20,0.1,90,106,72,0.0,0,0.0,0.0,9.280801,9.281,213,107,106,0.0,0,0.0,0.0,9.280801,9.281,213,107,106,0.0,0,0.0,0.0,9.280801,9.281,213,107,106,0,0.0,0,0.0,0.0,9.280801,9.281,213,107,106,0
1-2-20-0.2-10,100,5,2,20,0.2,10,106,72,0.0,0,0.0,0.0,11.481454,11.481,226,110,116,0.0,0,0.0,0.0,11.481454,11.481,226,110,116,0.0,0,0.0,0.0,11.481454,11.481,236,110,116,10,0.0,0,0.0,0.0,11.481454,11.481,236,110,116,10
1-2-20-0.2-50,100,5,2,20,0.2,50,106,72,0.0,0,0.0,0.0,10.488257,10.488,225,111,114,0.0,0,0.0,0.0,10.488257,10.488,225,111,114,0.0,0,0.0,0.0,10.488257,10.488,238,111,113,14,0.0,0,0.0,0.0,10.488257,10.488,238,111,113,14
1-2-20-0.2-90,100,5,2,20,0.2,90,106,72,0.0,0,0.0,0.0,9.280801,9.281,213,107,106,0.0,0,0.0,0.0,9.280801,9.281,213,107,106,0.0,0,0.0,0.0,9.280801,9.281,213,107,106,0,0.0,0,0.0,0.0,9.280801,9.281,213,107,106,0
2-1-20-0.01-10,100,10,1,20,0.01,10,106,94,0.0,0,0.0,0.0,19.956248,19.956,252,128,124,0.0,0,0.0,0.0,19.956248,19.956,243,119,124,0.0,0,0.0,0.0,19.956248,19.956,305,129,122,54,0.0,0,0.0,0.0,19.956248,19.956,272,119,121,32
2-1-20-0.01-50,100,10,1,20,0.01,50,106,94,0.0,0,0.0,0.0,18.883003,18.883,249,127,122,0.0,0,0.0,0.0,18.883003,18.883,238,118,120,0.0,0,0.0,0.0,18.883003,18.883,269,127,120,22,0.0,0,0.0,0.0,18.883003,18.883,252,118,120,14
2-1-20-0.01-90,100,10,1,20,0.01,90,106,94,0.0,0,0.0,0.0,15.526187,15.526,227,117,110,0.0,0,0.0,0.0,15.526187,15.526,227,117,110,0.0,0,0.0,0.0,15.526187,15.526,231,117,110,4,0.0,0,0.0,0.0,15.526187,15.526,231,117,110,4
2-1-20-0.1-10,100,10,1,20,0.1,10,106,94,0.0,0,0.0,0.0,19.942214,19.942,252,129,123,0.0,0,0.0,0.0,19.942214,19.942,243,120,123,0.0,0,0.0,0.0,19.942214,19.942,298,129,121,48,0.0,0,0.0,0.0,19.942214,19.942,269,120,121,28
2-1-20-0.1-50,100,10,1,20,0.1,50,106,94,0.0,0,0.0,0.0,18.883003,18.883,245,125,120,0.0,0,0.0,0.0,18.883003,18.883,243,121,122,0.0,0,0.0,0.0,18.883003,18.883,261,123,120,18,0.0,0,0.0,0.0,18.883003,18.883,250,117,121,12
2-1-20-0.1-90,100,10,1,20,0.1,90,106,94,0.0,0,0.0,0.0,15.526187,15.526,228,118,110,0.0,0,0.0,0.0,15.526187,15.526,228,118,110,0.0,0,0.0,0.0,15.526187,15.526,232,118,110,4,0.0,0,0.0,0.0,15.526187,15.526,232,118,110,4
2-1-20-0.2-10,100,10,1,20,0.2,10,106,94,0.0,0,0.0,0.0,19.926620,19.927,256,125,131,0.0,0,0.0,0.0,19.926620,19.927,254,125,129,0.0,0,0.0,0.0,19.926620,19.927,277,125,126,26,0.0,0,0.0,0.0,19.926620,19.927,281,125,126,30
2-1-20-0.2-50,100,10,1,20,0.2,50,106,94,0.0,0,0.0,0.0,18.883003,18.883,246,125,121,0.0,0,0.0,0.0,18.883003,18.883,238,117,121,0.0,0,0.0,0.0,18.883003,18.883,261,123,120,18,0.0,0,0.0,0.0,18.883003,18.883,251,117,120,14
2-1-20-0.2-90,100,10,1,20,0.2,90,106,94,0.0,0,0.0,0.0,15.526187,15.526,229,119,110,0.0,0,0.0,0.0,15.526187,15.526,233,123,110,0.0,0,0.0,0.0,15.526187,15.526,233,119,110,4,0.0,0,0.0,0.0,15.526187,15.526,237,123,110,4
2-2-20-0.01-10,100,10,2,20,0.01,10,112,88,0.0,0,0.0,0.0,21.209998,21.210,244,120,124,0.0,0,0.0,0.0,21.209998,21.210,240,116,124,0.0,0,0.0,0.0,21.209998,21.210,294,120,124,50,0.0,0,0.0,0.0,21.209998,21.210,282,116,124,42
2-2-20-0.01-50,100,10,2,20,0.01,50,112,88,0.0,0,0.0,0.0,20.606536,20.607,241,122,119,0.0,0,0.0,0.0,20.606536,20.607,238,119,119,0.0,0,0.0,0.0,20.606536,20.607,264,122,118,24,0.0,0,0.0,0.0,20.606536,20.607,250,118,118,14
2-2-20-0.01-90,100,10,2,20,0.01,90,112,88,0.0,0,0.0,0.0,18.048164,18.048,223,116,107,0.0,0,0.0,0.0,18.048164,18.048,223,116,107,0.0,0,0.0,0.0,18.048164,18.048,235,116,107,12,0.0,0,0.0,0.0,18.048164,18.048,235,116,107,12
2-2-20-0.1-10,100,10,2,20,0.1,10,112,88,0.0,0,0.0,0.0,21.195964,21.196,242,120,122,0.0,0,0.0,0.0,21.195964,21.196,237,114,123,0.0,0,0.0,0.0,21.195964,21.196,288,120,122,46,0.0,0,0.0,0.0,21.195964,21.196,276,116,122,38
2-2-20-0.1-50,100,10,2,20,0.1,50,112,88,0.0,0,0.0,0.0,20.605933,20.606,241,122,119,0.0,0,0.0,0.0,20.605933,20.606,237,118,119,0.0,0,0.0,0.0,20.605933,20.606,264,122,118,24,0.0,0,0.0,0.0,20.605933,20.606,250,118,118,14
2-2-20-0.1-90,100,10,2,20,0.1,90,112,88,0.0,0,0.0,0.0,18.047561,18.048,223,116,107,0.0,0,0.0,0.0,18.047561,18.048,223,116,107,0.0,0,0.0,0.0,18.047561,18.048,235,116,107,12,0.0,0,0.0,0.0,18.047561,18.048,235,116,107,12
2-2-20-0.2-10,100,10,2,20,0.2,10,112,88,0.0,0,0.0,0.0,21.180370,21.180,244,118,126,0.0,0,0.0,0.0,21.180370,21.180,245,119,126,0.0,0,0.0,0.0,21.180370,21.180,277,118,123,36,0.0,0,0.0,0.0,21.180370,21.180,274,119,125,30
