,,,,,,,,,bB&C-I,,,,,,,,,bB&C-I+E,,,,,,,,,bB&C-I+L,,,,,,,,,,bB&C-I+E+L,,,,,,,,,
id,|I|,K,r,R,theta,p_s,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,#LS,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,#LS
1-1-20-0.01-0.1,100,5,1,20,0.01,0.1,102,76,0.1,44,0.0,1.3,7.200000,7.200,243,119,124,0.1,56,0.0,0.3,7.200000,7.200,241,110,131,0.5,5,0.0,0.3,7.200000,7.200,308,111,125,72,0.1,3,0.0,0.0,7.200000,7.200,350,120,128,102
1-1-20-0.01-0.2,100,5,1,20,0.01,0.2,102,76,0.1,57,0.0,0.5,8.400000,8.400,250,114,136,0.1,0,0.0,0.0,8.400000,8.400,237,112,125,0.1,0,0.0,0.0,8.400000,8.400,289,113,120,56,0.0,0,0.0,0.0,8.400000,8.400,292,114,122,56
1-1-20-0.01-0.5,100,5,1,20,0.01,0.5,102,76,0.0,0,0.0,0.0,12.000000,12.000,239,120,119,0.0,0,0.0,0.0,12.000000,12.000,229,111,118,0.3,0,0.0,0.0,12.000000,12.000,289,120,117,52,0.0,0,0.0,0.0,12.000000,12.000,266,111,117,38
1-1-20-0.1-0.1,100,5,1,20,0.1,0.1,102,76,0.1,3,0.0,0.0,7.200000,7.200,232,109,123,0.1,17,0.0,0.0,7.200000,7.200,237,110,127,0.1,0,0.0,0.0,7.200000,7.200,296,113,123,60,0.0,0,0.0,0.0,7.200000,7.200,278,111,121,46
1-1-20-0.1-0.2,100,5,1,20,0.1,0.2,102,76,0.1,4,0.0,0.1,8.400000,8.400,235,110,125,0.1,19,0.0,0.1,8.400000,8.400,235,110,125,0.1,0,0.0,0.0,8.400000,8.400,276,110,120,46,0.0,0,0.0,0.0,8.400000,8.400,278,110,122,46
1-1-20-0.1-0.5,100,5,1,20,0.1,0.5,102,76,0.1,0,0.0,0.0,12.000000,12.000,246,122,124,0.0,0,0.0,0.0,12.000000,12.000,229,111,118,0.1,0,0.0,0.0,12.000000,12.000,276,116,116,44,0.0,0,0.0,0.0,12.000000,12.000,265,111,116,38
1-1-20-0.2-0.1,100,5,1,20,0.2,0.1,102,76,0.7,7,0.0,0.0,7.200000,7.200,241,114,127,0.1,1,0.0,0.0,7.200000,7.200,242,114,128,0.1,0,0.0,0.0,7.200000,7.200,273,114,125,34,0.0,0,0.0,0.0,7.200000,7.200,270,114,124,32
1-1-20-0.2-0.2,100,5,1,20,0.2,0.2,102,76,0.0,0,0.0,0.0,8.400000,8.400,233,110,123,0.1,0,0.0,0.0,8.400000,8.400,233,110,123,0.0,0,0.0,0.0,8.400000,8.400,261,110,117,34,0.2,0,0.0,0.0,8.400000,8.400,266,110,122,34
1-1-20-0.2-0.5,100,5,1,20,0.2,0.5,102,76,0.0,0,0.0,0.0,12.000000,12.000,238,115,123,0.1,0,0.0,0.0,12.000000,12.000,250,121,129,0.1,0,0.0,0.0,12.000000,12.000,268,115,121,32,0.1,0,0.0,0.0,12.000000,12.000,266,115,121,30
1-2-20-0.01-0.1,100,5,2,20,0.01,0.1,106,72,0.0,0,0.0,0.0,9.000000,9.000,222,107,115,0.0,0,0.0,0.0,9.000000,9.000,222,107,115,0.1,0,0.0,0.0,9.000000,9.000,228,107,115,6,0.0,0,0.0,0.0,9.000000,9.000,226,107,115,4
1-2-20-0.01-0.2,100,5,2,20,0.01,0.2,106,72,0.0,0,0.0,0.0,10.000000,10.000,222,107,115,0.0,0,0.0,0.0,10.000000,10.000,222,107,115,0.0,0,0.0,0.0,10.000000,10.000,234,107,115,12,0.0,0,0.0,0.0,10.000000,10.000,234,107,115,12
1-2-20-0.01-0.5,100,5,2,20,0.01,0.5,106,72,0.0,0,0.0,0.0,13.000000,13.000,230,115,115,0.1,0,0.0,0.0,13.000000,13.000,227,109,118,1.8,0,0.0,0.0,13.000000,13.000,269,115,114,40,0.1,0,0.0,0.0,13.000000,13.000,255,109,114,32
1-2-20-0.1-0.1,100,5,2,20,0.1,0.1,106,72,0.0,0,0.0,0.0,9.000000,9.000,218,106,112,0.0,0,0.0,0.0,9.000000,9.000,222,107,115,0.0,0,0.0,0.0,9.000000,9.000,224,106,112,6,0.1,0,0.0,0.0,9.000000,9.000,226,107,115,4
1-2-20-0.1-0.2,100,5,2,20,0.1,0.2,106,72,0.0,0,0.0,0.0,10.000000,10.000,221,109,112,0.0,0,0.0,0.0,10.000000,10.000,220,107,113,0.0,0,0.0,0.0,10.000000,10.000,223,107,112,4,0.0,0,0.0,0.0,10.000000,10.000,220,107,113,0
1-2-20-0.1-0.5,100,5,2,20,0.1,0.5,106,72,0.0,0,0.0,0.0,13.000000,13.000,231,114,117,0.0,0,0.0,0.0,13.000000,13.000,230,106,124,0.0,0,0.0,0.0,13.000000,13.000,266,114,114,38,0.0,0,0.0,0.0,13.000000,13.000,251,106,123,22
1-2-20-0.2-0.1,100,5,2,20,0.2,0.1,106,72,0.0,0,0.0,0.0,9.000000,9.000,226,111,115,0.0,0,0.0,0.0,9.000000,9.000,226,111,115,0.1,0,0.0,0.0,9.000000,9.000,236,111,115,10,0.0,0,0.0,0.0,9.000000,9.000,236,111,115,10
1-2-20-0.2-0.2,100,5,2,20,0.2,0.2,106,72,0.0,0,0.0,0.0,10.000000,10.000,220,107,113,0.0,0,0.0,0.0,10.000000,10.000,220,107,113,0.0,0,0.0,0.0,10.000000,10.000,224,107,113,4,0.0,0,0.0,0.0,10.000000,10.000,220,107,113,0
